Question,Answer
daa,https://t.me/DAA_SVIET
design and analysis of algorithm,https://t.me/DAA_SVIET
d a a,https://t.me/DAA_SVIET
dwdm,https://t.me/DWDM_SVIET
d w d m,https://t.me/DWDM_SVIET
data warehousing and data mining,https://t.me/DWDM_SVIET
iot,https://t.me/IOT_SVIET
i o t,https://t.me/IOT_SVIET
internet of things,https://t.me/IOT_SVIET
cn,https://t.me/CN_SVIET
c n,https://t.me/CN_SVIET
computer networks,https://t.me/CN_SVIET
spm,https://t.me/SPM_SVIE
s p m,https://t.me/SPM_SVIE
software project management,https://t.me/SPM_SVIE
hi,hello!
hi mowa, hello mowa
hi ii!,hello!
good morning,good morning
good night,good night
good afternoon,good afternoon
good evening,good evening
who created you,udeep
who created you?,udeep
what is your name?,deku
what is your name,deku
time,check your phone
time?,check your phone
exam,ask cr
exam?,ask cr
do you love me,no
who do you love,i dont love
who is your master,udeep
who is your master,udeep
do you have friends?,yes the users in the group
do you have friends,yes the users in the group
hii,hello!
hiii,hello!
hi iii,hello!
hi iii,hello!
mowa,yenti mowa?
doubt,Ask cr!
questions,Ask cr!
syllabus,I don't know
3-1 syllabus,Cr
go to hell ,You are already in hell
naruto link,https://t.me/Naruto_NarutoShippuden
one piece link,https://t.me/onepiece_dub
bleach link,https://t.me/bleach_season
demon slayer link,https://t.me/Demon_Slayer_Dual
one punch man link,https://t.me/OnePunchMan_Series
what is the best anime series,one piece
what is the best anime series?,one piece
what if I dont watch one piece?,your weak
what if I dont watch one piece?,your weak
what anime should I watch ,one piece
I already watched one piece,Then watch again
mowas,haa mowa
repu cl vundaa,Ask cr
supply fee ki last date yeapudu?,I dont know
supply fee ki last date yeapudu,I dont know
time table?,type period or period? or  class or class?
time table,type period or period? or  class or class?
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
mid questions,Ask cr
mid questions?,Ask cr
imp questions?,Ask cr
important  questions?,Ask cr
important questions,Ask cr
imp questions,Ask cr
mowas,haa mowa
party,veldam mowa
party?,veldam mowa
movie,veldam mowa
movie?,veldam mowa
ticket money,mana lo manaki money yeanti
ticket money?,mana lo manaki money yeanti
money,mana lo manaki money yeanti
money?,mana lo manaki money yeanti
yo,sup!
sup,sup yourself
yo?,sup!
sup?,sup yourself
men,MEN
women,WOMEN
women haa,ha ha ha ha ha
shadow clone jutsu,gomu gomu no red hawk
itachi uchiha,genjutsu
hey,hey
worried,it's all good man
sharingan,Amaterasu
naruto uzumaki,rasen shuriken
sasuke uchiha,kirin
kakashi hatake,the copy ninja
shikamaru nara,give shikamaru a rest
jiraiya ,sage mode
pain,All mighty push
orochimaru,edo tensei
okay bro,k bro
luffy,gear 5
monkey d luffy,gear 5
trafalgar law,room
saitama,serious serious serious punch
tanjiro kamado,hinokami kagura
inosuke hashibira,beast breathing
zenitsu,thunderclap and flash
class lo yeavaru,yo cr chapu
class lo yeavaru?,yo cr chapu
movies ki channel chapu,https://t.me/droctopusCPbot
movies bot?,https://t.me/droctopusCPbot
movies,https://t.me/droctopusCPbot
latest movies,https://t.me/droctopusCPbot
latest movies?,https://t.me/droctopusCPbot
series ki,https://t.me/tvseriescobot
tvshows,https://t.me/tvseriescobot
tv shows,https://t.me/tvseriescobot
tvshows?,https://t.me/tvseriescobot
tv shows?,https://t.me/tvseriescobot
series bot,https://t.me/tvseriescobot
ooad,https://t.me/ooad_cse_r20
o o a d,https://t.me/ooad_cse_r20
cd,https://t.me/cd_cse_r20
c d,https://t.me/cd_cse_r20
ml,https://t.me/ml_r20_cse
m l,https://t.me/ml_r20_cse
c n s,https://t.me/cns_cse_r20
cns,https://t.me/cns_cse_r20
fuee,https://t.me/fuee_r20_cse
f u e e,https://t.me/fuee_r20_cse
